batch_id,paper_id,section2_anchor,extraction_json_path,markdown_path,DRMIN_CANDIDATE,DZ_CANDIDATE,OSNR_CANDIDATE,ESNR_CANDIDATE,candidate_locator_drmin,candidate_locator_dz,candidate_locator_osnr,candidate_locator_esnr,invalid_reason
B01,O_ISAC_007,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[6],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_007\O_ISAC_007.md,0,0,0,0,,,,,
B01,O_ISAC_008,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[7],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_008\O_ISAC_008.md,0,0,0,0,,,,,
B01,O_ISAC_009,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[8],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_009\O_ISAC_009.md,0,0,0,0,,,,,
B01,O_ISAC_010,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[9],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_010\O_ISAC_010.md,0,0,0,0,,,,,
B01,O_ISAC_011,II-D,data/extraction_results_v4/extraction_v4_unified.json[10],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_011\O_ISAC_011.md,1,0,0,0,HeadingPath: # C. Principle of sensing | excerpt: The range resolution | where_hint: O_ISAC_011.md: The range resolution,,,,
B01,O_ISAC_012,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[11],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_012\O_ISAC_012.md,0,0,0,0,,,,,
B03,O_ISAC_025,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[24],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_025\O_ISAC_025.md,0,0,0,0,,,,,
B03,O_ISAC_026,II-D,data/extraction_results_v4/extraction_v4_unified.json[25],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_026\O_ISAC_026.md,1,0,0,0,HeadingPath: ## II. PRINCIPLE | excerpt: target. Range resolution | where_hint: O_ISAC_026.md: target. Range resolution,,,,
B03,O_ISAC_027,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[26],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_027\O_ISAC_027.md,0,0,0,0,,,,,
B03,O_ISAC_028,II-D,data/extraction_results_v4/extraction_v4_unified.json[27],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_028\O_ISAC_028.md,0,0,1,0,,,HeadingPath: # Performance Improvement for Symmetric Carrierassisted Differential Detection Receiver by Pairwise Coding | excerpt: signal-to-noise ratio (OSNR) | where_hint: O_ISAC_028.md: signal-to-noise ratio (OSNR),,
B03,O_ISAC_029,II-D,data/extraction_results_v4/extraction_v4_unified.json[28],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_029\O_ISAC_029.md,1,0,0,0,HeadingPath: # THz Integrated Sensing and Communication With Full-Photonic Direct LFM Reception and De-Chirping for D-Band Fiber-Wireless Network | excerpt: exceptional range resolution | where_hint: O_ISAC_029.md: exceptional range resolution,,,,
B03,O_ISAC_030,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[29],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_030\O_ISAC_030.md,0,0,0,0,,,,,
B03,O_ISAC_031,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[30],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_031\O_ISAC_031.md,0,0,0,0,,,,,references_only
B03,O_ISAC_032,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[31],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_032\O_ISAC_032.md,0,0,0,0,,,,,
B03,O_ISAC_033,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[32],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_033\O_ISAC_033.md,0,1,0,0,,HeadingPath: #### Introduction | excerpt: and the Rayleigh | where_hint: O_ISAC_033.md: and the Rayleigh,,,
B03,O_ISAC_034,II-D,data/extraction_results_v4/extraction_v4_unified.json[33],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_034\O_ISAC_034.md,1,0,0,0,HeadingPath: #### B. Sensing Metrics | excerpt: ∆D<sup>B</sup> = c/2B | where_hint: O_ISAC_034.md: ∆D<sup>B</sup> = c/2B,,,,
B03,O_ISAC_035,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[34],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_035\O_ISAC_035.md,1,1,0,0,"HeadingPath: # *C. Ranging and Communication Subcarrier Power Allocation* | excerpt: FMCW ranging resolution, | where_hint: O_ISAC_035.md: FMCW ranging resolution,",HeadingPath: # B. FSO Channel | excerpt: follows a Rayleigh | where_hint: O_ISAC_035.md: follows a Rayleigh,,,anchor_conflict_candidate
B03,O_ISAC_036,II-D,data/extraction_results_v4/extraction_v4_unified.json[35],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_036\O_ISAC_036.md,1,0,0,0,HeadingPath: #### **Experimental Results** | excerpt: a range resolution | where_hint: O_ISAC_036.md: a range resolution,,,,
B04,O_ISAC_037,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[36],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_037\O_ISAC_037.md,0,0,0,0,,,,,
B04,O_ISAC_038,II-D,data/extraction_results_v4/extraction_v4_unified.json[37],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_038\O_ISAC_038.md,0,1,0,0,,HeadingPath: #### 2. NOMA with 16-QAM signal and sensing LFM tone | excerpt: the continuous Rayleigh | where_hint: O_ISAC_038.md: the continuous Rayleigh,,,
B04,O_ISAC_039,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[38],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_039\O_ISAC_039.md,0,0,0,0,,,,,
B04,O_ISAC_040,II-D,data/extraction_results_v4/extraction_v4_unified.json[39],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_040\O_ISAC_040.md,1,0,0,0,HeadingPath: # III. SIMULATION RESULTS | excerpt: | Ranging resolution | where_hint: O_ISAC_040.md: | Ranging resolution,,,,
B04,O_ISAC_041,II-A,data/extraction_results_v4/extraction_v4_unified.json[40],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_041\O_ISAC_041.md,0,1,0,0,,"HeadingPath: ## *A. System Architecture* | excerpt: fibers includes Rayleigh, | where_hint: O_ISAC_041.md: fibers includes Rayleigh,",,,
B04,O_ISAC_042,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[41],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_042\O_ISAC_042.md,0,1,0,0,,HeadingPath: #### 2. Operating Principles | excerpt: of fiber Rayleigh | where_hint: O_ISAC_042.md: of fiber Rayleigh,,,
B04,O_ISAC_043,II-D,data/extraction_results_v4/extraction_v4_unified.json[42],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_043\O_ISAC_043.md,1,0,0,0,HeadingPath: ### 2. Principles | excerpt: The range resolution | where_hint: O_ISAC_043.md: The range resolution,,,,
B04,O_ISAC_044,II-D,data/extraction_results_v4/extraction_v4_unified.json[43],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_044\O_ISAC_044.md,1,0,0,0,"HeadingPath: # Photonic-Based W-Band Integrated Sensing and Communication System With Flexible Time-Frequency Division Multiplexed Waveforms for Fiber-Wireless Network | excerpt: rate, range resolution, | where_hint: O_ISAC_044.md: rate, range resolution,",,,,
B04,O_ISAC_045,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[44],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_045\O_ISAC_045.md,0,0,0,0,,,,,
B04,O_ISAC_046,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[45],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_046\O_ISAC_046.md,0,1,0,0,,HeadingPath: #### I. INTRODUCTION | excerpt: based on Rayleigh | where_hint: O_ISAC_046.md: based on Rayleigh,,,
B04,O_ISAC_047,II-D,data/extraction_results_v4/extraction_v4_unified.json[46],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_047\O_ISAC_047.md,1,0,0,0,HeadingPath: # Zero-Padding 2D-DFT Scheme for Photonics-Assisted W-Band Fiber-Wireless ISAC System With Orthogonal Time Frequency Space Modulation | excerpt: theoretical ranging resolution | where_hint: O_ISAC_047.md: theoretical ranging resolution,,,,
B04,O_ISAC_048,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[47],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_048\O_ISAC_048.md,0,0,0,0,,,,,
B05,O_ISAC_049,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[48],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_049\O_ISAC_049.md,0,0,0,0,,,,,
B05,O_ISAC_050,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[49],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_050\O_ISAC_050.md,0,0,0,0,,,,,
B05,O_ISAC_051,II-D,data/extraction_results_v4/extraction_v4_unified.json[50],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_051\O_ISAC_051.md,1,0,0,0,HeadingPath: #### I. INTRODUCTION | excerpt: between distance resolution | where_hint: O_ISAC_051.md: between distance resolution,,,,
B05,O_ISAC_052,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[51],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_052\O_ISAC_052.md,0,0,0,0,,,,,
B05,O_ISAC_053,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[52],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_053\O_ISAC_053.md,0,0,0,0,,,,,
B05,O_ISAC_054,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[53],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_054\O_ISAC_054.md,0,0,0,0,,,,,
B05,O_ISAC_055,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[54],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_055\O_ISAC_055.md,0,0,0,0,,,,,
B05,O_ISAC_056,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[55],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_056\O_ISAC_056.md,0,0,1,0,,,HeadingPath: # Optical ISAC: Fundamental Performance Limits and Transceiver Design | excerpt: signal-to-noise ratio (O-SNR) | where_hint: O_ISAC_056.md: signal-to-noise ratio (O-SNR),,
B05,O_ISAC_057,II-D,data/extraction_results_v4/extraction_v4_unified.json[56],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_057\O_ISAC_057.md,1,0,0,0,HeadingPath: #### I. Introduction | excerpt: the range resolution | where_hint: O_ISAC_057.md: the range resolution,,,,
B05,O_ISAC_058,II-D,data/extraction_results_v4/extraction_v4_unified.json[57],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_058\O_ISAC_058.md,1,0,0,0,HeadingPath: # Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for *W*-Band Fiber-Wireless Network | excerpt: and range resolutions | where_hint: O_ISAC_058.md: and range resolutions,,,,
B05,O_ISAC_059,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[58],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_059\O_ISAC_059.md,0,0,0,0,,,,,
B05,O_ISAC_060,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[59],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_060\O_ISAC_060.md,0,0,0,0,,,,,
B06,O_ISAC_061,II-D,data/extraction_results_v4/extraction_v4_unified.json[60],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_061\O_ISAC_061.md,1,0,0,1,"HeadingPath: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* | excerpt: the range resolution | where_hint: O_ISAC_061.md: the range resolution",,,"HeadingPath: #### <span id=""page-11-3""></span>*C. Practical C&S Performance Metrics* | excerpt: w.r.t. electrical SNR | where_hint: O_ISAC_061.md: w.r.t. electrical SNR",
B06,O_ISAC_062,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[61],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_062\O_ISAC_062.md,0,0,0,0,,,,,
B06,O_ISAC_063,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[62],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_063\O_ISAC_063.md,0,0,0,0,,,,,
B06,O_ISAC_064,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[63],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_064\O_ISAC_064.md,0,0,0,0,,,,,
B06,O_ISAC_065,II-D,data/extraction_results_v4/extraction_v4_unified.json[64],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_065\O_ISAC_065.md,1,0,0,0,HeadingPath: # THz-Over-Fiber System With Orthogonal Chirp Division Multiplexing for Integrated Sensing and Communication | excerpt: cm range resolution | where_hint: O_ISAC_065.md: cm range resolution,,,,
B06,O_ISAC_066,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[65],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_066\O_ISAC_066.md,0,0,0,0,,,,,
B06,O_ISAC_067,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[66],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_067\O_ISAC_067.md,0,0,0,0,,,,,
B06,O_ISAC_068,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[67],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_068\O_ISAC_068.md,0,0,0,0,,,,,
B06,O_ISAC_069,II-D,data/extraction_results_v4/extraction_v4_unified.json[68],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_069\O_ISAC_069.md,0,1,0,0,,HeadingPath: # II. ADVANCED SIGNAL PROCESSING OF UNDERWATER DISTRIBUTED ACOUSTIC SENSING FOR SEISMOLOGY APPLICATION | excerpt: utilizes the Rayleigh | where_hint: O_ISAC_069.md: utilizes the Rayleigh,,,
B06,O_ISAC_070,II-D,data/extraction_results_v4/extraction_v4_unified.json[69],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_070\O_ISAC_070.md,1,0,0,0,HeadingPath: # B. Single-carrier Integrated Waveforms | excerpt: ultra-high ranging resolution | where_hint: O_ISAC_070.md: ultra-high ranging resolution,,,,
B06,O_ISAC_071,II-D,data/extraction_results_v4/extraction_v4_unified.json[70],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_071\O_ISAC_071.md,1,0,0,0,"HeadingPath: ## <span id=""page-0-11""></span><span id=""page-0-10""></span><span id=""page-0-9""></span>II. PRINCIPLE | excerpt: the ranging resolution | where_hint: O_ISAC_071.md: the ranging resolution",,,,
B06,O_ISAC_072,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[71],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_072\O_ISAC_072.md,0,0,0,0,,,,,
B07,O_ISAC_073,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[72],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_073\O_ISAC_073.md,0,0,0,0,,,,,
B07,O_ISAC_074,II-D,data/extraction_results_v4/extraction_v4_unified.json[73],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_074\O_ISAC_074.md,0,1,0,0,,"HeadingPath: #### I. INTRODUCTION | excerpt: sensing, the Rayleigh | where_hint: O_ISAC_074.md: sensing, the Rayleigh",,,
B07,O_ISAC_075,II-D,data/extraction_results_v4/extraction_v4_unified.json[74],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_075\O_ISAC_075.md,1,0,0,0,HeadingPath: #### A. Principle of RO-ISAC | excerpt: the ranging resolution | where_hint: O_ISAC_075.md: the ranging resolution,,,,
B07,O_ISAC_076,II-D,data/extraction_results_v4/extraction_v4_unified.json[75],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_076\O_ISAC_076.md,0,0,1,0,,,HeadingPath: #### III. SIMULATIONS | excerpt: signal-to-noise ratio (OSNR) | where_hint: O_ISAC_076.md: signal-to-noise ratio (OSNR),,
B07,O_ISAC_077,II-D,data/extraction_results_v4/extraction_v4_unified.json[76],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_077\O_ISAC_077.md,1,0,0,0,HeadingPath: # THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication | excerpt: cm range resolution | where_hint: O_ISAC_077.md: cm range resolution,,,,
B07,O_ISAC_078,II-UNK,data/extraction_results_v4/extraction_v4_unified.json[77],c:\Users\fatih\gdrive\AKU_WorkSpace\survey_fdgit\OISAC_PRISMA_COMST\data\processed_markdowns\O_ISAC_078\O_ISAC_078.md,0,0,0,0,,,,,
